Name,Sys_name,Chromosome,ORF_Start,ORF_End,TSS_stein_Start,TSS_stein_End,TSS_park_Start,TSS_park_End,Prom_len
YBL012C,YBL012C,2,203807,203406,NaN,NaN,NaN,NaN,NaN
FMT1,YBL013W,2,202056,203261,202012,203437,201990,NaN,235
RRN6,YBL014C,2,201748,199064,201777,198947,201777,198947,235
ACH1,YBL015W,2,194122,195702,194033,195962,194045,195736,1000
FUS3,YBL016W,2,192451,193512,NaN,NaN,192428,193647,NaN
PEP1,YBL017C,2,191583,186844,191792,186776,191764,186777,1000
POP8,YBL018C,2,186474,185998,186512,185941,186515,185962,264
APN2,YBL019W,2,184353,185915,184301,186031,184301,186030,96
RFT1,YBL020W,2,182401,184125,182324,184205,182319,184214,204
HAP3,YBL021C,2,182094,181660,182120,181490,182141,181490,204
PIM1,YBL022C,2,181275,177874,181398,177798,181394,177798,92
MCM2,YBL023C,2,177526,174920,177579,174744,177611,174765,219
NCL1,YBL024W,2,172534,174588,172511,174713,172528,174708,127
RRN10,YBL025W,2,171481,171918,171423,172384,171413,NaN,257
LSM2,YBL026W,2,170623,171038,170565,171166,170581,171164,1000
RPL19B,YBL027W,2,168423,169376,168392,169460,168371,169460,507
YBL028C,YBL028C,2,167838,167518,167885,167273,167860,167433,507
YBL029W,YBL029W,2,166134,167264,166092,167356,NaN,167488,1000
PET9,YBL030C,2,163997,163041,164118,162745,164141,162741,246
SHE1,YBL031W,2,161699,162715,161669,162874,161665,162874,160
HEK2,YBL032W,2,160184,161329,160092,161509,160094,161532,371
RIB1,YBL033C,2,159693,158656,159721,158589,159709,158489,371
STU1,YBL034C,2,158389,153848,158448,153736,158215,153698,141
POL12,YBL035C,2,153610,151493,153691,151447,153688,151382,45
YBL036C,YBL036C,2,151220,150447,151233,150301,151269,150301,214
APL3,YBL037W,2,147209,150286,147116,150380,147129,150403,172
MRPL16,YBL038W,2,146187,146885,146124,146944,146130,146947,341
URA7,YBL039C,2,145728,143989,145783,143807,145782,143807,341
ERD2,YBL040C,2,142868,142112,142911,142045,142900,142012,197
PRE7,YBL041W,2,141247,141972,141212,142028,141216,142028,892
FUI1,YBL042C,2,140260,138341,140320,138290,140316,138150,892
ECM13,YBL043W,2,136688,137461,136557,137655,136555,137644,855
YBL044W,YBL044W,2,135998,136366,NaN,NaN,NaN,136509,NaN
COR1,YBL045C,2,135516,134143,135702,133961,135640,133840,855
PSY4,YBL046W,2,132424,133749,132420,133868,132416,133931,204
EDE1,YBL047C,2,132040,127895,132216,127632,132211,127751,204
RRT1,YBL048W,2,127299,127610,NaN,NaN,NaN,NaN,NaN
MOH1,YBL049W,2,126828,127244,NaN,NaN,126622,NaN,NaN
SEC17,YBL050W,2,125125,126119,125048,126186,125058,126186,228
PIN4,YBL051C,2,124759,122753,124820,122302,124822,122603,228
SAS3,YBL052C,2,121874,119379,122124,119306,122062,119310,178
YBL053W,YBL053W,2,119335,119709,NaN,NaN,NaN,NaN,NaN
TOD6,YBL054W,2,117589,119166,117474,119311,117478,119311,341
YBL055C,YBL055C,2,116829,115573,117133,115479,116815,115479,341
PTC3,YBL056W,2,113762,115168,113707,115563,113682,115535,260
PTH2,YBL057C,2,113427,112801,113447,112728,113447,112734,260
SHP1,YBL058W,2,111437,112708,111409,112829,111396,112825,4
YBL059W,YBL059W,2,110594,111244,110677,111405,110674,111316,116
YEL1,YBL060W,2,107932,109995,107914,110033,107870,110039,399
SKT5,YBL061C,2,107406,105316,107515,105248,107510,105213,399
YBL062W,YBL062W,2,105308,105688,NaN,NaN,NaN,NaN,NaN
KIP1,YBL063W,2,101886,105221,101869,105221,101886,105317,681
PRX1,YBL064C,2,101156,100371,101188,100299,101224,100299,681
YBL065W,YBL065W,2,99963,100307,NaN,NaN,NaN,NaN,NaN
SEF1,YBL066C,2,100115,96669,100169,96444,99053,96488,130
UBP13,YBL067C,2,95882,93639,96164,93604,96169,93523,280
PRS4,YBL068W,2,92414,93394,92372,93483,92365,93483,261
AST1,YBL069W,2,90741,92030,90654,92111,90669,92111,73
YBL070C,YBL070C,2,90925,90605,NaN,NaN,NaN,NaN,NaN
YBL071C,YBL071C,2,90531,90223,90581,88403,NaN,NaN,73
RPS8A,YBL072C,2,89125,88523,89142,88412,89116,88403,468
YBL073W,YBL073W,2,87646,87957,NaN,NaN,NaN,NaN,NaN
AAR2,YBL074C,2,87789,86722,87790,84418,87803,NaN,613
SSA3,YBL075C,2,86448,84499,87511,84418,NaN,84418,279
ILS1,YBL076C,2,84261,81043,84278,80947,84269,80947,140
YBL077W,YBL077W,2,80897,81328,NaN,NaN,NaN,NaN,NaN
ATG8,YBL078C,2,80731,80378,80775,80214,80813,NaN,172
NUP170,YBL079W,2,75259,79767,75188,79828,75206,79852,464
PET112,YBL080C,2,74695,73070,74724,72965,74778,72965,464
YBL081W,YBL081W,2,71866,72972,71552,73109,71552,73030,382
ALG3,YBL082C,2,71127,69751,71170,69697,71409,69658,382
YBL083C,YBL083C,2,70138,69713,71170,69697,NaN,NaN,382
CDC27,YBL084C,2,69445,67169,69568,67040,69543,66923,129
BOI1,YBL085W,2,63876,66818,63540,66924,63661,66929,861
YBL086C,YBL086C,2,62602,61202,62679,61155,62726,61155,861
RPL23A,YBL087C,2,60739,59822,60762,59722,60762,59722,393
TEL1,YBL088C,2,59382,51019,59649,50912,59438,50935,73
AVT5,YBL089W,2,49574,50953,49514,51016,49510,51261,33
MRP21,YBL090W,2,48825,49358,48808,49481,48794,49477,158
MAP2,YBL091C,2,48628,47363,48650,47263,48659,47273,158
RPL32,YBL092W,2,45978,46370,45613,46517,45582,46517,596
ROX3,YBL093C,2,44918,44256,44998,44106,44998,44039,19
YBL094C,YBL094C,2,44097,43765,45017,43182,NaN,NaN,596
YBL095W,YBL095W,2,43277,44089,43261,44207,NaN,44207,79
YBL096C,YBL096C,2,43482,43174,NaN,NaN,NaN,NaN,NaN
BRN1,YBL097W,2,40831,43095,40773,43265,40781,43308,209
BNA4,YBL098W,2,39145,40527,39124,40564,39125,40644,202
ATP1,YBL099W,2,37053,38690,36733,38922,36766,38922,1000
YBL100C,YBL100C,2,37303,36989,NaN,NaN,NaN,NaN,NaN
ECM21,YBL101C,2,28299,24946,28406,24777,28583,24810,1000
SFT2,YBL102W,2,24098,24745,24010,24938,24010,24938,220
RTG3,YBL103C,2,23536,22076,23790,21602,23790,21715,220
YBL104C,YBL104C,2,21293,18177,21299,18086,21298,18094,303
PKC1,YBL105C,2,17696,14241,17962,14104,17966,14104,124
SRO77,YBL106C,2,13879,10847,13917,10869,13946,10773,187
YBL107C,YBL107C,2,10551,9961,10559,9835,10551,9818,310
YBL108W,YBL108W,2,8177,8482,NaN,NaN,NaN,NaN,NaN
YBL109W,YBL109W,2,5790,6125,NaN,NaN,NaN,NaN,NaN
YBL111C,YBL111C,2,5009,2907,NaN,NaN,NaN,NaN,NaN
YBL112C,YBL112C,2,2899,2582,NaN,NaN,NaN,NaN,NaN
YBL113C,YBL113C,2,2658,280,NaN,NaN,NaN,NaN,NaN
NTH2,YBR001C,2,241283,238941,241339,238872,241431,238872,205
RER2,YBR002C,2,242568,241708,242589,241544,242589,241599,191
COQ1,YBR003W,2,242809,244230,242780,244360,242780,244360,191
GPI18,YBR004C,2,245667,244366,245683,244273,245683,244273,183
RCR1,YBR005W,2,245906,246547,245866,246703,245871,246731,183
UGA2,YBR006W,2,247010,248503,246884,248648,246884,248645,181
DSF2,YBR007C,2,251016,248806,251096,248665,251106,248623,1000
FLR1,YBR008C,2,254209,252563,254430,252433,254427,252542,769
HHF1,YBR009C,2,255684,255373,255721,255199,255723,255209,582
HHT1,YBR010W,2,256331,256741,256303,256899,256303,256902,582
IPP1,YBR011C,2,257975,257112,258006,257000,258014,257000,1000
YBR012C,YBR012C,2,259566,259147,NaN,NaN,NaN,NaN,NaN
YBR013C,YBR013C,2,265881,265492,NaN,NaN,266023,265340,NaN
GRX7,YBR014C,2,267336,266725,267396,266614,267396,266529,173
MNN2,YBR015C,2,269503,267710,269631,267569,NaN,267571,580
YBR016W,YBR016W,2,270247,270633,270211,270840,270198,270836,580
KAP104,YBR017C,2,273703,270947,273755,270845,273755,270773,517
GAL7,YBR018C,2,275527,274427,275547,274272,NaN,274283,622
GAL10,YBR019C,2,278352,276253,278377,276169,NaN,276151,586
GAL1,YBR020W,2,279021,280607,278963,280717,NaN,280655,586
FUR4,YBR021W,2,281443,283344,281345,283471,281325,283434,628
POA1,YBR022W,2,283738,284271,283676,284429,283676,284426,205
CHS3,YBR023C,2,287925,284428,288059,284279,288074,284300,1000
SCO2,YBR024W,2,289445,290350,289332,290352,289353,290580,1000
OLA1,YBR025C,2,291865,290681,291902,290470,291886,290477,859
ETR1,YBR026C,2,294019,292877,294067,292761,294040,292761,182
YBR027C,YBR027C,2,294356,294024,NaN,NaN,NaN,NaN,NaN
YBR028C,YBR028C,2,296002,294425,296043,294249,296102,294249,195
CDS1,YBR029C,2,297742,296369,297822,296238,297822,296241,404
RKM3,YBR030W,2,298292,299950,298226,300006,298021,300119,404
RPL4A,YBR031W,2,300166,301254,300150,301342,300150,301347,144
YBR032W,YBR032W,2,301519,301821,NaN,NaN,NaN,NaN,NaN
EDS1,YBR033W,2,301944,304703,NaN,NaN,NaN,NaN,NaN
HMT1,YBR034C,2,305976,304930,305997,304740,305990,304740,172
PDX3,YBR035C,2,306955,306269,306985,306169,306982,306170,1000
CSG2,YBR036C,2,310313,309081,310361,308887,310361,308887,134
SCO1,YBR037C,2,311452,310565,311493,310495,311493,310495,358
CHS2,YBR038W,2,311898,314789,311851,314975,311857,314971,358
ATP3,YBR039W,2,315575,316510,315496,316688,315488,316688,521
FIG1,YBR040W,2,316968,317864,NaN,NaN,316786,NaN,NaN
FAT1,YBR041W,2,318266,320275,318213,320417,318213,320417,1000
CST26,YBR042C,2,321609,320416,321654,320349,321654,320346,85
QDR3,YBR043C,2,323945,321876,324071,321739,324094,321771,194
TCM62,YBR044C,2,326059,324341,326092,324265,326142,324268,1000
GIP1,YBR045C,2,330092,328173,330230,328149,NaN,328027,6
ZTA1,YBR046C,2,331511,330507,331544,330236,331542,330248,269
FMP23,YBR047W,2,331833,332360,331813,332461,331780,332461,269
RPS11B,YBR048W,2,332831,333812,332813,334029,332813,334020,352
REB1,YBR049C,2,336818,334386,336865,334141,336941,334141,280
REG2,YBR050C,2,338199,337183,338387,337145,338376,NaN,276
YBR051W,YBR051W,2,337988,338338,NaN,NaN,NaN,NaN,NaN
RFS1,YBR052C,2,339352,338720,339413,338663,339416,338663,193
YBR053C,YBR053C,2,340751,339675,340763,339606,340763,339541,1000
YRO2,YBR054W,2,343101,344135,342784,344511,342787,344360,1000
PRP6,YBR055C,2,347301,344602,347322,344509,347325,344509,536
YBR056W,YBR056W,2,347879,349384,347858,349428,347754,349428,536
MUM2,YBR057C,2,353293,352193,353383,352063,353383,352089,269
UBP14,YBR058C,2,356017,353672,356039,353652,356041,353516,114
AKL1,YBR059C,2,360187,356861,360325,356762,360298,356762,270
ORC2,YBR060C,2,362514,360652,362601,360595,362632,360609,1000
TRM7,YBR061C,2,365719,364787,365732,364635,365726,364634,137
YBR062C,YBR062C,2,366600,365976,366612,365869,366631,365878,301
YBR063C,YBR063C,2,368184,366970,369713,366913,NaN,366867,7
YBR064W,YBR064W,2,367763,368191,NaN,NaN,NaN,NaN,NaN
ECM2,YBR065C,2,369678,368584,369720,366926,369750,368276,218
NRG2,YBR066C,2,370699,370037,370759,369938,370751,369948,1000
TIP1,YBR067C,2,372735,372103,372786,371974,372786,371984,856
BAP2,YBR068C,2,375690,373861,375729,373642,375729,373642,683
TAT1,YBR069C,2,378433,376574,378538,376412,378538,376429,640
ALG14,YBR070C,2,379934,379221,379972,379178,379987,379178,367
YBR071W,YBR071W,2,380411,381046,380339,381316,380339,381321,367
HSP26,YBR072W,2,382030,382674,381956,382838,381956,382840,640
RDH54,YBR073W,2,383112,385988,383140,385996,383154,386050,302
YBR074W,YBR074W,2,386286,389216,386281,389278,386281,389331,285
,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ECM8,YBR076W,2,390227,391291,NaN,NaN,NaN,NaN,NaN
SLM4,YBR077C,2,392293,391805,392339,391577,392352,391577,608
ECM33,YBR078W,2,393123,394742,392947,395042,392947,394894,608
RPG1,YBR079C,2,398277,395383,398302,395294,398302,395294,184
SEC18,YBR080C,2,400890,398614,400916,398486,400916,398464,213
SPT7,YBR081C,2,405251,401253,405393,401129,405397,401105,1000
UBC4,YBR082C,2,407169,406628,407255,406461,407234,406461,1000
TEC1,YBR083W,2,409169,410629,408894,410711,409122,410704,1000
MIS1,YBR084W,2,411054,413981,411040,414073,411040,414073,329
AAC3,YBR085W,2,415983,416906,415908,417072,415919,417077,624
IST2,YBR086C,2,423041,420201,423333,420069,423344,420078,421
RFC5,YBR087W,2,423765,424829,423754,424884,423754,424889,421
POL30,YBR088C,2,425766,424990,425806,424935,425806,424923,211
YBR089W,YBR089W,2,425183,425782,NaN,NaN,NaN,NaN,NaN
YBR090C,YBR090C,2,427058,426333,NaN,NaN,NaN,426015,NaN
TIM12,YBR091C,2,427484,427155,427525,427054,427525,427061,122
PHO3,YBR092C,2,429101,427698,429127,427647,429115,427647,354
PHO5,YBR093C,2,430951,429548,430986,429481,430986,429492,990
PBY1,YBR094W,2,432036,434297,431976,434300,431970,434402,990
RXT2,YBR095C,2,435698,434406,435723,434314,435738,434314,237
YBR096W,YBR096W,2,436021,436713,435960,436781,435939,436781,237
VPS15,YBR097W,2,436951,441315,436909,441293,436920,441394,128
MMS4,YBR098W,2,441515,443590,441496,443721,441517,443745,203
YBR099C,YBR099C,2,443307,442924,444740,442901,NaN,NaN,3
,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FES1,YBR101C,2,444693,443821,444743,443785,444765,443743,209
EXO84,YBR102C,2,447323,445062,447387,444952,447354,444956,156
SIF2,YBR103W,2,447709,449316,447543,449364,447549,449364,156
YMC2,YBR104W,2,449667,450656,449584,450722,449579,450740,220
VID24,YBR105C,2,451969,450881,452000,450759,451995,450721,619
PHO88,YBR106W,2,452658,453224,452619,453364,452625,453364,619
IML3,YBR107C,2,454530,453793,454579,453346,454551,NaN,191
AIM3,YBR108W,2,454822,457665,454770,457846,454807,457852,191
CMD1,YBR109C,2,458362,457919,458406,457722,458401,457724,406
ALG1,YBR110W,2,458872,460221,458812,460321,458657,460318,406
YSA1,YBR111C,2,461873,461178,461881,461107,461856,461107,221
CYC8,YBR112C,2,465770,462870,465970,462642,465964,462642,1000
YBR113W,YBR113W,2,465566,466048,NaN,NaN,NaN,NaN,NaN
RAD16,YBR114W,2,467248,469620,467160,469732,467130,469679,1000
LYS2,YBR115C,2,473926,469748,474034,469650,474013,469611,1000
YBR116C,YBR116C,2,474726,474199,NaN,NaN,NaN,NaN,NaN
TKL2,YBR117C,2,476437,474392,NaN,NaN,476674,474235,NaN
TEF2,YBR118W,2,477671,479047,477649,479137,477649,479137,1000
MUD1,YBR119W,2,479338,480323,479290,480443,479298,480467,153
CBP6,YBR120C,2,480923,480435,481008,480375,481006,480375,220
GRS1,YBR121C,2,483367,481364,483434,481228,483444,481261,340
MRPL36,YBR122C,2,484503,483970,484536,483774,484536,483774,160
TFC1,YBR123C,2,486691,484742,486754,484696,486759,484677,104
YBR124W,YBR124W,2,486507,486866,NaN,NaN,NaN,NaN,NaN
PTC4,YBR125C,2,488380,487199,488562,486858,488559,487061,212
TPS1,YBR126C,2,490392,488905,490484,488774,490499,488774,343
VMA2,YBR127C,2,492822,491269,492871,491103,492886,491103,139
ATG14,YBR128C,2,494115,493081,494202,493010,494147,492798,66
OPY1,YBR129C,2,495339,494353,495383,494268,495374,494219,96
SHE3,YBR130C,2,496869,495592,496929,495479,496929,495479,204
CCZ1,YBR131W,2,497163,499277,497133,499352,497119,499352,204
AGP2,YBR132C,2,501442,499652,501606,499349,501553,499352,138
HSL7,YBR133C,2,504287,501804,504416,501744,504400,501663,344
YBR134W,YBR134W,2,504243,504644,NaN,NaN,NaN,NaN,NaN
CKS1,YBR135W,2,504854,505306,504760,505412,504754,505510,344
MEC1,YBR136W,2,505668,512774,505630,512966,505617,512970,218
YBR137W,YBR137W,2,513044,513583,512982,513718,512952,513680,16
YBR138C,YBR138C,2,515336,513762,515376,513613,515405,513613,280
YBR139W,YBR139W,2,515664,517190,515656,517360,515659,517223,280
IRA1,YBR140C,2,526628,517350,526898,517234,NaN,517239,252
YBR141C,YBR141C,2,528038,527025,528069,526885,528058,526864,190
MAK5,YBR142W,2,528317,530638,528259,530815,528270,530645,190
SUP45,YBR143C,2,532182,530869,532210,530729,532221,530735,1000
YBR144C,YBR144C,2,533549,533235,NaN,NaN,NaN,NaN,NaN
ADH5,YBR145W,2,533762,534817,533721,534918,533721,534918,1000
MRPS9,YBR146W,2,535260,536096,535197,536296,535197,536318,279
RTC2,YBR147W,2,536575,537465,536462,537481,NaN,537494,166
YSW1,YBR148W,2,537876,539705,537934,539638,537689,539787,453
ARA1,YBR149W,2,539987,541021,539949,541128,539918,541118,311
TBS1,YBR150C,2,544493,541209,544522,541138,544524,541143,393
APD1,YBR151W,2,545028,545978,544915,546108,544915,546108,393
SPP381,YBR152W,2,546376,547251,546308,548351,546322,NaN,200
RIB7,YBR153W,2,547460,548194,546373,548365,547410,548241,65
RPB5,YBR154C,2,549009,548362,549100,548266,549100,548266,634
CNS1,YBR155W,2,549771,550928,549734,551006,549726,551018,634
SLI15,YBR156C,2,553200,551104,553250,550927,553237,550927,164
ICS2,YBR157C,2,554310,553543,555160,553414,554382,553418,1000
AMN1,YBR158W,2,556549,558198,556286,558351,556286,558348,1000
IFA38,YBR159W,2,558685,559728,558632,559894,558660,559815,281
CDC28,YBR160W,2,560078,560974,560000,561068,559947,561068,106
CSH1,YBR161W,2,561634,562764,561407,562903,561407,563028,339
TOS1,YBR162C,2,564570,563203,564719,563053,564808,562899,495
EXO5,YBR163W,2,565723,567480,565621,567536,565639,567536,108
ARL1,YBR164C,2,568426,567875,568545,567747,568545,567773,215
UBS1,YBR165W,2,568852,569685,568760,569831,568760,569731,215
TYR1,YBR166C,2,571200,569842,571243,569741,571252,569753,112
POP7,YBR167C,2,571890,571468,571947,571355,571926,571400,294
PEX32,YBR168W,2,572371,573612,572241,573786,572244,573780,294
SSE2,YBR169C,2,575996,573915,576050,573737,NaN,573739,164
NPL4,YBR170C,2,578086,576344,578120,576214,578159,576214,218
SEC66,YBR171W,2,578364,578984,578338,579117,578338,579065,218
SMY2,YBR172C,2,581372,579150,581477,579016,581483,579012,68
UMP1,YBR173C,2,582172,581726,582196,581545,582200,581582,199
YBR174C,YBR174C,2,582652,582338,583410,582177,NaN,NaN,48
SWD3,YBR175W,2,582408,583355,582395,583458,582395,583458,199
ECM31,YBR176W,2,583720,584658,583629,584701,583586,584803,171
EHT1,YBR177C,2,586162,584807,586192,584680,586193,584684,284
YBR178W,YBR178W,2,586071,586445,NaN,NaN,NaN,NaN,NaN
FZO1,YBR179C,2,589114,586547,589179,586476,589179,586491,1000
DTR1,YBR180W,2,589741,591459,NaN,NaN,NaN,NaN,NaN
RPS6B,YBR181C,2,592774,591712,592803,591623,592827,591630,326
SMP1,YBR182C,2,594864,593506,595025,593129,595027,593200,179
YPC1,YBR183W,2,596115,597065,596018,597146,595906,597128,412
YBR184W,YBR184W,2,597363,598934,597349,598941,597363,599077,203
MBA1,YBR185C,2,599959,599123,599978,598944,599978,599004,1000
PCH2,YBR186W,2,600553,602360,NaN,NaN,NaN,NaN,NaN
GDT1,YBR187W,2,602634,603476,602512,603636,602550,603614,1000
NTC20,YBR188C,2,604107,603685,604182,603502,604182,603530,300
RPS9B,YBR189W,2,604508,605508,604482,605573,604470,605578,300
YBR190W,YBR190W,2,605966,606277,604485,607283,NaN,NaN,3
RPL21A,YBR191W,2,606270,607140,606248,607251,606220,607242,675
